hour;bus;powerGen
1;1;1330.0
1;2;1535.6262478415533
1;3;100.0
1;4;500.0
1;5;0.0
1;6;3247.5474378524395
1;7;450.0
1;8;0.0
1;9;2000.0
1;10;120.0
1;11;0.0
1;12;1500.0
1;13;4600.0
1;14;1100.0
1;15;100.0
1;16;3000.0
1;18;100.0
1;19;0.0
2;1;1330.0
2;2;3400.0
2;3;100.0
2;4;500.0
2;5;0.0
2;6;2817.8388722691107
2;7;450.0
2;8;1521.1535108845692
2;9;2000.0
2;10;120.0
2;11;0.0
2;12;1500.0
2;13;4420.497215417317
2;14;1100.0
2;15;100.0
2;16;3000.0
2;18;100.0
2;19;1060.0
3;1;1330.0
3;2;3400.0
3;3;100.0
3;4;500.0
3;5;0.0
3;6;2794.371875374232
3;7;450.0
3;8;1634.2317095033288
3;9;2000.0
3;10;120.0
3;11;0.0
3;12;1500.0
3;13;4393.688110144002
3;14;1100.0
3;15;100.0
3;16;3000.0
3;18;100.0
3;19;1060.0
4;1;1330.0
4;2;3400.0
4;3;100.0
4;4;500.0
4;5;580.0
4;6;2826.6360381750846
4;7;450.0
4;8;1744.4271460509945
4;9;2000.0
4;10;120.0
4;11;0.0
4;12;1500.0
4;13;4447.209397843564
4;14;1100.0
4;15;100.0
4;16;3000.0
4;18;100.0
4;19;1060.0
5;1;1330.0
5;2;3400.0
5;3;100.0
5;4;500.0
5;5;580.0
5;6;2826.1513538736776
5;7;450.0
5;8;1735.1553025981464
5;9;2000.0
5;10;120.0
5;11;0.0
5;12;1500.0
5;13;4414.208066303298
5;14;1100.0
5;15;100.0
5;16;3000.0
5;18;100.0
5;19;1060.0
6;1;1330.0
6;2;3400.0
6;3;100.0
6;4;500.0
6;5;580.0
6;6;2824.929696460975
6;7;450.0
6;8;1868.7532708299286
6;9;2000.0
6;10;120.0
6;11;0.0
6;12;1500.0
6;13;4456.137141211046
6;14;1100.0
6;15;100.0
6;16;3000.0
6;18;100.0
6;19;1060.0
7;1;1330.0
7;2;2380.0
7;3;100.0
7;4;500.0
7;5;0.0
7;6;2681.703772760601
7;7;450.0
7;8;1803.6107262842222
7;9;2000.0
7;10;120.0
7;11;0.0
7;12;1500.0
7;13;4390.279626233609
7;14;1100.0
7;15;100.0
7;16;3000.0
7;18;100.0
7;19;1060.0
8;1;1330.0
8;2;0.0
8;3;70.0
8;4;500.0
8;5;0.0
8;6;2193.004882215472
8;7;450.0
8;8;0.0
8;9;1500.0
8;10;120.0
8;11;0.0
8;12;1500.0
8;13;4242.1512592384815
8;14;1100.0
8;15;70.0
8;16;1831.7754370400503
8;18;70.0
8;19;1060.0
9;1;1330.0
9;2;0.0
9;3;0.0
9;4;500.0
9;5;0.0
9;6;0.0
9;7;180.0
9;8;0.0
9;9;0.0
9;10;48.0
9;11;0.0
9;12;600.0
9;13;4198.257986140496
9;14;1100.0
9;15;0.0
9;16;1469.3548735291856
9;18;0.0
9;19;1060.0
10;1;1088.014550115741
10;2;0.0
10;3;0.0
10;4;500.0
10;5;0.0
10;6;0.0
10;7;450.0
10;8;0.0
10;9;0.0
10;10;120.0
10;11;0.0
10;12;1391.7586790144912
10;13;4294.708077615374
10;14;1100.0
10;15;0.0
10;16;0.0
10;18;0.0
10;19;1060.0
11;1;928.1380082037833
11;2;0.0
11;3;0.0
11;4;500.0
11;5;0.0
