hour;fbus;tbus;flow
1;1;4;1600.085
1;1;5;-552.284
1;4;10;929.802
1;4;18;-137.5
1;5;11;-1627.562
1;5;13;-154.489
1;5;16;1216.557
1;6;14;182.798
1;7;10;-363.685
1;7;12;15.019
1;7;15;101.856
1;7;17;-23.34
1;1;10;247.439
1;8;18;299.9
1;9;17;596.446
1;9;18;101.918
1;10;15;488.472
1;10;16;39.71
1;10;17;-281.063
1;11;13;-964.464
1;11;14;966.45
1;13;19;1018.478
1;15;16;-343.621
1;1;14;-612.906
1;2;8;525.401
1;2;9;505.06
1;3;6;-385.778
1;3;8;-312.013
1;3;18;-11.764
1;4;9;-1128.109
2;1;4;1600.085
2;1;5;-765.547
2;4;10;281.369
2;4;18;-63.569
2;5;11;-1627.562
2;5;13;-184.409
2;5;16;803.702
2;6;14;-13.565
2;7;10;-3.551
2;7;12;-328.101
2;7;15;-109.919
2;7;17;0.545
2;1;10;165.555
2;8;18;247.115
2;9;17;401.212
2;9;18;235.551
2;10;15;-216.596
2;10;16;-108.201
2;10;17;17.041
2;11;13;-1484.915
2;11;14;1283.243
2;13;19;1352.325
2;15;16;-1309.094
2;1;14;-498.035
2;2;8;734.457
2;2;9;331.011
2;3;6;-452.854
2;3;8;-371.251
2;3;18;-24.551
2;4;9;-911.498
3;1;4;1580.702
3;1;5;-743.013
3;4;10;339.746
3;4;18;-72.893
3;5;11;-1627.562
3;5;13;-184.887
3;5;16;801.182
3;6;14;3.618
3;7;10;-51.704
3;7;12;-281.963
3;7;15;-126.102
3;7;17;-1.484
3;1;10;171.351
3;8;18;282.893
3;9;17;435.596
3;9;18;232.622
3;10;15;-211.136
3;10;16;-107.908
3;10;17;6.994
3;11;13;-1493.224
3;11;14;1261.932
3;13;19;1349.901
3;15;16;-1315.377
3;1;14;-494.964
3;2;8;801.845
3;2;9;416.435
3;3;6;-437.848
3;3;8;-395.553
3;3;18;-24.272
3;4;9;-967.629
4;1;4;1475.147
4;1;5;-692.245
4;4;10;442.957
4;4;18;-114.345
4;5;11;-1627.562
4;5;13;-184.801
4;5;16;792.571
4;6;14;55.843
4;7;10;-128.329
4;7;12;-226.926
4;7;15;-130.028
4;7;17;-6.432
4;1;10;175.807
4;8;18;382.805
4;9;17;524.683
4;9;18;202.4
4;10;15;-158.887
4;10;16;-99.303
4;10;17;-53.014
4;11;13;-1491.732
4;11;14;1224.206
4;13;19;1388.544
4;15;16;-1281.828
4;1;14;-475.188
4;2;8;1015.61
4;2;9;700.75
4;3;6;-371.162
4;3;8;-482.379
4;3;18;-25.963
4;4;9;-1181.595
5;1;4;1458.841
5;1;5;-663.655
5;4;10;475.565
5;4;18;-127.002
5;5;11;-1627.562
5;5;13;-184.325
5;5;16;772.65
5;6;14;83.895
5;7;10;-165.715
5;7;12;-184.887
5;7;15;-148.075
5;7;17;-8.06
5;1;10;178.6
5;8;18;422.608
5;9;17;557.107
5;9;18;196.755
5;10;15;-165.589
5;10;16;-100.754
5;10;17;-62.147
5;11;13;-1483.457
5;11;14;1189.429
5;13;19;1363.98
5;15;16;-1291.729
5;1;14;-480.969
5;2;8;1072.543
5;2;9;790.737
5;3;6;-354.275
5;3;8;-502.704
5;3;18;-24.781
5;4;9;-1254.342
6;1;4;1426.538
6;1;5;-654.394
6;4;10;531.685
6;4;18;-128.188
6;5;11;-1627.562
6;5;13;-185.722
6;5;16;770.78
6;6;14;83.279
6;7;10;-207.011
6;7;12;-135.337
6;7;15;-170.567
6;7;17;-9.304
6;1;10;183.062
6;8;18;447.676
6;9;17;581.725
6;9;18;202.062
6;10;15;-178.096
6;10;16;-103.168
6;10;17;-58.074
6;11;13;-1507.754
6;11;14;1174.661
6;13;19;1386.794
6;15;16;-1305.485
6;1;14;-487.221
6;2;8;1132.493
6;2;9;845.538
6;3;6;-347.057
6;3;8;-516.64
6;3;18;-24.183
6;4;9;-1273.237
7;1;4;1600.085
7;1;5;-645.972
7;4;10;514.332
7;4;18;-89.853
7;5;11;-1627.562
7;5;13;-180.489
7;5;16;791.838
7;6;14;114.852
7;7;10;-212.271
7;7;12;-100.596
7;7;15;-174.619
7;7;17;-8.086
7;1;10;194.973
7;8;18;179.811
7;9;17;512.296
7;9;18;221.787
7;10;15;-182.059
7;10;16;-104.628
7;10;17;-22.314
7;11;13;-1416.721
7;11;14;1152.869
7;13;19;1340.061
7;15;16;-1321.053
7;1;14;-503.364
7;2;8;488.761
7;2;9;142.398
7;3;6;-439.96
7;3;8;-293.813
7;3;18;-20.945
7;4;9;-1058.343
8;1;4;1600.085
8;1;5;-223.981
8;4;10;1713.907
8;4;18;-372.418
8;5;11;-1465.15
