hour;bus;E_i;E_s
1;1;0.0;0.0
1;2;0.0;0.0
1;3;0.0;0.0
1;4;0.0;562.5
1;5;0.0;0.0
1;6;0.0;0.0
1;7;0.0;0.0
1;8;0.0;0.0
1;9;0.0;0.0
1;10;0.0;0.0
1;11;0.0;0.0
1;12;0.0;0.0
1;13;0.0;0.0
1;14;0.0;476.69
1;15;0.0;0.0
1;16;0.0;0.0
1;17;0.0;0.0
1;18;0.0;0.0
1;19;0.0;112.584
2;1;0.0;0.0
2;2;0.0;0.0
2;3;0.0;0.0
2;4;562.5;562.5
2;5;0.0;0.0
2;6;0.0;0.0
2;7;0.0;0.0
2;8;0.0;0.0
2;9;0.0;0.0
2;10;0.0;0.0
2;11;0.0;0.0
2;12;0.0;0.0
2;13;0.0;0.0
2;14;476.69;444.56
2;15;0.0;0.0
2;16;0.0;0.0
2;17;0.0;0.0
2;18;0.0;0.0
2;19;112.584;523.78
3;1;0.0;0.0
3;2;0.0;0.0
3;3;0.0;0.0
3;4;562.5;562.5
3;5;0.0;0.0
3;6;0.0;0.0
3;7;0.0;0.0
3;8;0.0;0.0
3;9;0.0;0.0
3;10;0.0;0.0
3;11;0.0;0.0
3;12;0.0;0.0
3;13;0.0;0.0
3;14;444.56;444.56
3;15;0.0;0.0
3;16;0.0;0.0
3;17;0.0;0.0
3;18;0.0;0.0
3;19;523.78;523.78
4;1;0.0;0.0
4;2;0.0;0.0
4;3;0.0;0.0
4;4;562.5;579.492
4;5;0.0;0.0
4;6;0.0;0.0
4;7;0.0;0.0
4;8;0.0;0.0
4;9;0.0;0.0
4;10;0.0;0.0
4;11;0.0;0.0
4;12;0.0;0.0
4;13;0.0;0.0
4;14;444.56;444.56
4;15;0.0;0.0
4;16;0.0;0.0
4;17;0.0;0.0
4;18;0.0;0.0
4;19;523.78;523.78
5;1;0.0;0.0
5;2;0.0;0.0
5;3;0.0;0.0
5;4;579.492;579.492
5;5;0.0;0.0
5;6;0.0;0.0
5;7;0.0;0.0
5;8;0.0;0.0
5;9;0.0;0.0
5;10;0.0;0.0
5;11;0.0;0.0
5;12;0.0;0.0
5;13;0.0;0.0
5;14;444.56;444.56
5;15;0.0;0.0
5;16;0.0;0.0
5;17;0.0;0.0
5;18;0.0;0.0
5;19;523.78;523.78
6;1;0.0;0.0
6;2;0.0;0.0
6;3;0.0;0.0
6;4;579.492;579.492
6;5;0.0;0.0
6;6;0.0;0.0
6;7;0.0;0.0
6;8;0.0;0.0
6;9;0.0;0.0
6;10;0.0;0.0
6;11;0.0;0.0
6;12;0.0;0.0
6;13;0.0;0.0
6;14;444.56;444.56
6;15;0.0;0.0
6;16;0.0;0.0
6;17;0.0;0.0
6;18;0.0;0.0
6;19;523.78;523.78
7;1;0.0;0.0
7;2;0.0;0.0
7;3;0.0;0.0
7;4;579.492;494.169
7;5;0.0;0.0
7;6;0.0;0.0
7;7;0.0;0.0
7;8;0.0;0.0
7;9;0.0;0.0
7;10;0.0;0.0
7;11;0.0;0.0
7;12;0.0;0.0
7;13;0.0;0.0
7;14;444.56;0.0
7;15;0.0;0.0
7;16;0.0;0.0
7;17;0.0;0.0
7;18;0.0;0.0
7;19;523.78;523.78
8;1;0.0;0.0
8;2;0.0;0.0
8;3;0.0;0.0
8;4;494.169;621.711
8;5;0.0;0.0
8;6;0.0;0.0
8;7;0.0;0.0
8;8;0.0;0.0
8;9;0.0;0.0
8;10;0.0;0.0
8;11;0.0;0.0
8;12;0.0;0.0
8;13;0.0;0.0
8;14;0.0;0.0
8;15;0.0;0.0
8;16;0.0;0.0
8;17;0.0;0.0
8;18;0.0;0.0
8;19;523.78;523.78
9;1;0.0;0.0
