hour;bus;voltageNode;angleDegrees
1;1;1.0;-3.173
1;2;1.0;-0.402
1;3;1.0;-3.885
1;4;1.0;-6.023
1;5;1.0;0.597
1;6;1.0;0.815
1;7;1.0;-9.333
1;8;1.0;-1.467
1;9;1.0;-2.532
1;10;1.0;-8.596
1;11;1.0;6.256
1;12;1.0;-9.362
1;13;1.0;9.424
1;14;1.0;0.0
1;15;1.0;-9.858
1;16;1.0;-9.418
1;17;1.0;-7.942
1;18;1.0;-3.185
1;19;1.0;8.403
2;1;1.0;1.538
2;2;1.0;2.904
2;3;1.0;-1.462
2;4;1.0;-1.312
2;5;1.0;6.764
2;6;1.0;4.055
2;7;1.0;-2.098
2;8;1.0;1.415
2;9;1.0;1.508
2;10;1.0;-2.091
2;11;1.0;12.423
2;12;1.0;-1.469
2;13;1.0;17.3
2;14;1.0;4.116
2;15;1.0;-1.531
2;16;1.0;0.148
2;17;1.0;-2.131
2;18;1.0;0.0
2;19;1.0;15.945
3;1;1.0;1.311
3;2;1.0;3.246
3;3;1.0;-1.445
3;4;1.0;-1.505
3;5;1.0;6.383
3;6;1.0;3.889
3;7;1.0;-2.55
3;8;1.0;1.62
3;9;1.0;1.49
3;10;1.0;-2.445
3;11;1.0;12.042
3;12;1.0;-2.009
3;13;1.0;16.946
3;14;1.0;3.873
3;15;1.0;-1.899
3;16;1.0;-0.212
3;17;1.0;-2.461
3;18;1.0;0.0
3;19;1.0;15.594
4;1;1.0;0.267
4;2;1.0;4.252
4;3;1.0;-1.546
4;4;1.0;-2.36
4;5;1.0;4.993
4;6;1.0;2.976
4;7;1.0;-3.846
4;8;1.0;2.192
4;9;1.0;1.296
4;10;1.0;-3.586
4;11;1.0;10.652
4;12;1.0;-3.411
4;13;1.0;15.551
4;14;1.0;2.727
4;15;1.0;-3.176
4;16;1.0;-1.532
4;17;1.0;-3.463
4;18;1.0;0.0
4;19;1.0;14.16
5;1;1.0;-0.023
5;2;1.0;4.595
5;3;1.0;-1.476
5;4;1.0;-2.621
5;5;1.0;4.508
5;6;1.0;2.841
5;7;1.0;-4.273
5;8;1.0;2.42
5;9;1.0;1.26
5;10;1.0;-3.938
5;11;1.0;10.166
5;12;1.0;-3.919
5;13;1.0;15.038
5;14;1.0;2.467
5;15;1.0;-3.51
5;16;1.0;-1.853
5;17;1.0;-3.793
5;18;1.0;0.0
5;19;1.0;13.672
6;1;1.0;-0.105
6;2;1.0;4.86
6;3;1.0;-1.44
6;4;1.0;-2.646
6;5;1.0;4.362
6;6;1.0;2.788
6;7;1.0;-4.537
6;8;1.0;2.564
6;9;1.0;1.294
6;10;1.0;-4.117
6;11;1.0;10.021
6;12;1.0;-4.277
6;13;1.0;14.973
6;14;1.0;2.417
6;15;1.0;-3.657
6;16;1.0;-1.983
6;17;1.0;-3.982
6;18;1.0;0.0
6;19;1.0;13.583
